make,model,seating_capacity,transmission_type,fuel_tank_capacity,body,rating,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
Kia,Sorento,7,automatic,41,SUV,4.8,20371,25241,168,3798,294,6420
Kia,Sorento,7,automatic,45,SUV,4.1,19274,26601,295,2389,357,6375
BMW,3 Series,5,automatic,73,Sedan,4.8,27105,33645,405,3558,186,5025
Volvo,S60,5,automatic,68,Sedan,4.2,24736,31156,407,3288,170,5358
BMW,6 Series Gran Coupe,5,automatic,59,Sedan,3.8,57833,73816,273,1914,176,5168
Nissan,Altima,5,automatic,50,Sedan,3.9,9098,13428,140,1780,183,4942
BMW,M5,5,automatic,64,Sedan,3.8,52986,73795,361,1950,225,5626
Chevrolet,Cruze,5,automatic,79,Sedan,3.8,8436,12274,268,3286,299,5718
Audi,A4,5,automatic,56,Sedan,4.7,28435,40958,443,1533,204,4826
Chevrolet,Camaro,5,automatic,60,Convertible,4.9,15067,22514,316,2067,129,6966
Audi,A6,5,automatic,71,Sedan,4.4,41489,62534,365,1408,154,4133
Kia,Optima,5,automatic,43,Sedan,4.4,15270,18783,495,3033,351,6346
Ford,Fusion,5,automatic,42,Sedan,4.4,10959,13584,277,3410,116,6509
Kia,Sorento,7,automatic,72,SUV,3.8,17292,25935,450,1919,194,5289
Chevrolet,Cruze,5,automatic,69,Sedan,3.7,9585,12876,419,2207,238,4963
Nissan,Altima,5,automatic,60,Sedan,4.2,12394,14983,275,1410,296,6824
Hyundai,Sonata,5,Manual,43,Sedan,4.6,3860,5145,319,3958,361,4137
Audi,Q5,7,automatic,79,SUV,3.8,37464,51334,181,2732,289,6123
Chevrolet,Camaro,5,automatic,73,Coupe,3.8,14235,18638,334,3058,179,5041
BMW,6 Series,5,automatic,43,Convertible,4.9,63447,70696,345,1571,257,4217
Chevrolet,Impala,5,automatic,47,Sedan,4.5,5990,7641,330,3461,363,4617
BMW,5 Series,5,automatic,46,Sedan,3.9,26362,32206,170,3925,316,4025
Chevrolet,Camaro,5,automatic,61,Convertible,3.9,13091,17921,401,3787,390,4791
Audi,A3,5,automatic,75,Sedan,4.9,20557,25676,362,1946,160,5014
BMW,6 Series,5,automatic,65,Convertible,3.7,54251,70780,492,3511,194,5293
Hyundai,Sonata,5,automatic,64,Sedan,4.3,7131,10807,332,2734,202,4075
Volvo,XC70,5,automatic,51,Wagon,3.9,27113,34132,370,2774,169,4080
Volvo,XC70,5,automatic,43,Wagon,4.5,28638,40880,342,1895,245,6741
BMW,X5,7,automatic,80,SUV,4.1,30439,36734,269,3474,258,5181
Chevrolet,Camaro,5,automatic,77,Coupe,3.9,17572,24661,261,2276,153,4974
Chevrolet,Cruze,5,automatic,62,Sedan,3.8,9775,13633,174,2192,385,4437
Audi,SQ5,7,automatic,51,SUV,4.9,42913,50350,195,2854,152,6070
Kia,Sorento,7,automatic,47,SUV,5.0,18078,24037,150,1390,369,5231
Audi,S5,5,automatic,71,Coupe,4.8,39668,51023,461,1499,310,4276
